카테고리	키워드	분류	키워드	분류	키워드	분류	키워드	분류	키워드		A = antonym	E = equal	S = sub keyword	R = related	N = disable	@ = 출력키워드	NE = 검토중인 E	NS = 검토중인 S	NR = 검토중인 R						
		S	인공수정																						
		R	출산	A	낙태																				
				N	사산																				
	@출산																								
	@낙태																								
	@육아	S	양육	E	아이양육																				
	@연애	S	@계약연애																						
		S	@비밀연애																						
		S	@사내연애	E	사내커플																				
		S	장기연애																						
		S	자유연애																						
		S	@양성연애																						
		S	@대학생커플	S	캠퍼스커플																				
		S	@십대커플																						
		S	@데이트																						
		N	롱디																						
	@운명	S	인연																						
		S	우연한만남																						
		S	@운명적사랑																						
	@사랑	S	@가족애	E	가족사랑																				
				S	@형제애																				
				S	@부부애																				
				S	@부모애	S	모성애.부성애																		
						S	@부성애																		
						S	@모성애	E	모성																
								N	모성적																
																									
		S	@애증	N	증오																				
		S	@짝사랑																						
		S	@옛사랑	R	옛추억	N	추억																		
						N	예전추억들																		
				S	옛연인																				
				S	옛애인																				
		S	@첫사랑	N	첫키스																				
		S	@끝사랑	E	마지막사랑																				
		S	@삼각관계																						
		S	@사랑고백	N	러브송																				
				N	연애편지																				
		S	@사랑쟁탈전																						
		S	@노년의사랑	E	노년의 사랑																				
		S	@사제간사랑	E	사제간의사랑																				
		S	@운명적사랑	E	운명적 사랑																				
				N	운명																				
		S	@순수한사랑	E	순수로맨스																				
				N	순수																				
		S	영원한사랑																						
		S	참된사랑																						
		S	새로운사랑																						
		S	빗나간사랑																						
		S	@금지된사랑	S	근친상간																				
				S	동성애																				
				S	불륜																				
		N	동성애	N	동성애자	E	동성애인																		
						E	동성연애자																		
						E	호모섹슈얼																		
						N	게이	S	게이부모																
								S	게이커플																
								S	게이바																
						S	레즈비언																		
						S	퀴어	S	@퀴어무비	E	퀴어영화														
										E	퀴어물														
						S	커밍아웃																		
						R	성적소수자																		
						A	호모포비아																		
				S	@커밍아웃																				
				S	@성정체성																				
		S	사랑싸움																						
		S	@사랑과우정	N	우정																				
		R	사랑과이별																						
	@우정	S	@사랑과우정																						
		S	@버디무비																						
		N	친구																						
	@권태	S	권태기																						
		S	부부권태																						
	@가정불화	E	가족불화																						
		E	가족해체																						
		S	@부부불화	E	부부갈등																				
				S	@부부싸움																				
				S	@별거																				
		S	@고부갈등	S	@시집살이																				
		S	@가정폭력																						
		R	가족붕괴																						
	@별거																								
	@시한부인생	E	시한부																						
	@기억상실	S	기억상실증	S	단기기억상실증																				
		S	부분기억상실																						
		S	기억삭제																						
	@초능력	S	초능력자																						
		S	순간이동																						
		S	텔레파시																						
		N	특별한능력																						
	@두뇌게임	E	두뇌싸움																						
	@인종문제	S	인종차별	E	인종차별주의																				
				S	한국인차별																				
				S	조선인차별																				
		S	인종갈등																						
	@멸망	S	인류멸망																						
		S	지구멸망																						
		R	종말																						
	@종말	S	지구종말																						
		S	종말론																						
		R	멸망																						
	욕망	S	@성적욕망	E	육체적욕망																				
				E	원초적욕망																				
				E	욕정																				
				E	성욕																				
				E	애욕																				
				E	성적욕구																				
				E	성적본능																				
				S	성적유희																				
				S	육체탐닉																				
				S	성적노리개																				
				S	@성적환상	E	성적판타지																		
				S	성적호기심	E	성적 호기심																		
				S	성적취향	E	성적편력																		
				S	성적일탈																				
				S	성적유린																				
																									
		S	@권력욕	S	출세욕																				
				S	명예욕																				
		S	@승부욕																						
		S	정복욕																						
		S	@식욕																						
		S	탐욕																						
		S	욕구불만																						
	@가상현실	S	가상미래																						
		S	가상공간																						
		S	가상도시																						
	@인간복제	S	@복제인간	E	클론인간																				
				E	클론																				
		R	인조인간																						
		N	유전자																						
	@독재	S	독재정권																						
		S	군부독재																						
		S	유신정권																						
		S	군사정권																						
	@위조	S	위조지폐																						
		S	미술복제	E	그림복제																				
	@민주화운동	S	@민주화	E	민주화투쟁																				
				E	민주항쟁																				
				S	5.18민주화운동	E	518민주화운동																		
						E	518																		
						E	5.18																		
						E	광주민주화운동																		
						E	5.18광주민주화운동																		
						E	광주민주항쟁																		
						E	광주항쟁																		
						E	광주사태																		
	@해킹	S	해커																						
		S	컴퓨터바이러스																						
	@삶의일상	E	평범한 삶																						
		S	일상의반복																						
		S	행복한일상																						
		N	일상																						
	하루																								
	@배신	S	배신자																						
		S	배신감																						
		A	의리																						
	@의리																								
	@사기극	E	사기음모																						
		S	@사기도박																						
		S	@보험사기																						
		S	취업사기																						
		S	@사기꾼	E	사기단	S	토지사기단																		
				S	전문사기꾼																				
				S	천재사기꾼																				
		R	거짓말																						
		N	사기																						
		N	사기성																						
	@거짓말																								
	@입양	S	해외입양																						
		S	입양아	S	해외입양아																				
	@유혹	S	성적유혹																						
	@엑소시즘	E	퇴마																						
		E	유령퇴치																						
		E	퇴마의식																						
		S	엑소시스트	E	퇴마사																				
				E	유령사냥꾼																				
				R	무당																				
		R	주술																						
		R	악령	R	악마	R	마녀																		
	@인권	S	인권문제																						
		S	여성인권																						
		S	국가인권위원회																						
		S	인권운동가	S	인권변호사																				
		S	@인권영화																						
		N	인권선진국																						
	@탐험	E	탐사	S	탐사선																				
				S	탐사대																				
		S	탐험대																						
		S	탐험가																						
		R	모험가																						
	@어드벤처	E	모험																						
		E	어드벤쳐																						
		E	탐험																						
		S	모험가																						
	@도전	S	도전정신																						
		N	도전적																						
	@풍자	E	해학																						
		S	사회풍자																						
		S	정치풍자																						
		S	@블랙코미디																						
		S	세태풍자																						
	@상류층	E	상류사회																						
		E	상위층																						
		N	사회지도층																						
		N	지도층																						
		N	상위권																						
		S	@귀족																						
		S	@재벌	E	대재벌																				
				S	석유재벌																				
				S	재벌2세	S	재벌딸	S	재벌상속녀																
								S	상속녀																
						S	재벌아들																		
				S	억만장자																				
				S	백만장자																				
	성전환	S	성전환수술																						
		N	트랜스젠더																						
	@독립운동	S	독립운동가	S	독립군																				
				S	독립투사																				
		S	독립기념일																						
	@환생	E	부활																						
	@전생																								
	@영혼체인지	E	영혼바뀜																						
	@빙의																								
	@부정부패	E	비리																						
		E	부조리																						
		S	정치비리	E	부패정치																				
				S	부패정치인																				
		S	선거비리	E	부정선거																				
		S	행정부패																						
		S	비리재단																						
		S	비리형사	E	부패형사																				
		S	부패경찰																						
		S	부패검사																						
		S	부패기자																						
	@도망	E	도피																						
		E	도주																						
		E	피신																						
		S	@망명																						
		S	@도망자																						
	@학교폭력	E	교내폭력																						
		S	고교폭력																						
		S	폭력서클	E	폭력써클																				
				E	불량서클																				
				E	일진																				
	종교	E	신앙																						
		S	@천주교	E	카톨릭																				
				E	가톨릭																				
				S	교황청																				
				S	@성당																				
				S	수도원																				
				S	수녀원																				
				S	교황																				
				S	추기경																				
				S	수녀	S	수녀견습생																		
				S	카톨릭사제																				
				S	천주교도																				
				S	천주교리전파																				
				S	천주교박해																				
				S	고해성사																				
				S	바티칸																				
		S	@기독교	S	기독교인																				
				S	기독교정신																				
				S	@교회	S	순복음중앙교회																		
				S	@목사	S	조용기목사																		
						S	사이비목사																		
		S	@불교	S	@스님	E	승려																		
						S	법정스님																		
		S	@사이비종교	S	사이비목사																				
	@무정부주의	E	아나키즘																						
		S	아나키스트																						
		N	무정부																						
	@변장	S	@남장여장	S	남장	E	남장여자																		
				S	여장	E	여장남자																		
	@반란	E	쿠데타	S	정변																				
				N	역변																				
		S	선상반란																						
		S	반란군																						
	@환경파괴	E	자연파괴																						
		E	지구오염																						
		S	@지구온난화	E	온난화																				
		S	환경오염																						
		S	오염																						
		S	대기오염																						
		R	환경운동가																						
	@팜므파탈																								
	@중년	S	@중년부부																						
		S	중년남성	E	중년사내																				
		S	중년여자																						
	@노년	S	@노년부부	E	노부부																				
		S	@노년의사랑	E	노년의 사랑																				
		R	노인																						
	@노인문제																								
	@사춘기	E	청소년기																						
		S	사춘기소녀																						
		S	사춘기청소년들																						
	@유년시절	E	어린시절																						
		E	유년기																						
		R	소년																						
		R	소녀																						
		R	초등학생																						
	@학창시절	E	학교생활																						
		S	@고교시절																						
		S	@대학시절	E	대학생활																				
				S	대학입시																				
				S	대학입학																				
				S	대학합격																				
				S	대학중퇴																				
				S	대학졸업																				
				S	대학가요제																				
		N	유년시절																						
	@투병생활	E	투병																						
		S	암투병																						
	@이상과현실	E	꿈과현실																						
		E	현실과환상	N	비현실																				
				N	초현실																				
				N	가상현실																				
		E	현실과환영																						
		E	현실과이상																						
	@가출	S	가출청소년																						
		S	가출소녀																						
	@미스터리	E	미스테리																						
		E	미스테리영화																						
		E	정체불명																						
		E	미궁																						
		N	수수께끼																						
		S	@미해결사건	E	미제사건																				
	공포증	S	@광장공포증	E	광장공포																				
		S	@폐소공포증	E	폐쇄공포증																				
				S	밀실공포증																				
		S	@대인공포증																						
		S	@고소공포증																						
		S	@트라우마																						
	@정신질환	E	정신병	N	정신병원																				
				S	정신병자																				
		S	정신분열증	E	정신분열																				
				E	정신이상																				
		S	@강박증	S	강박관념																				
				S	@결벽증																				
				S	강박감																				
				S	강박증세																				
		S	@다중인격	E	다중자아																				
				S	이중인격																				
				S	다중인격자																				
		S	@사이코패스	E	싸이코패스																				
				E	사이코패스영화																				
				N	정신병자																				
				N	정신병																				
				N	정신질환자																				
		S	@우울증																						
		S	@자폐증	S	자폐아																				
		S	@수면장애	S	@불면증																				
				S	@몽유병	N	꿈속																		
		S	@관음증																						
		S	@과대망상																						
		S	@실어증																						
		S	@거식증	E	신경성식욕부진증																				
		S	@대식증																						
		S	@의처증																						
		S	난독증																						
		S	@건망증																						
		S	자살증후군																						
		S	정신병환자	E	정신병자																				
		S	정신병원	S	정신과의사																				
				S	정신과상담																				
		R	콤플렉스																						
	@콤플렉스	E	컴플렉스																						
		S	외디푸스콤플렉스																						
		S	레드콤플렉스																						
		S	외모컴플렉스																						
		S	신데렐라컴플렉스																						
	@악몽																								
	@중독	S	@알콜중독	E	알코올중독																				
		S	@마약중독	E	마약쟁이																				
		S	약물중독																						
		S	납중독																						
	@정신지체	E	정신지체장애																						
		S	외상성정신장애																						
		S	@지적장애인	S	정신지체아																				
				S	정신지체자																				
	@증후군	S	틱 증후군																						
		S	서번트증후군																						
		S	다운증후군																						
	장애	S	뇌성마비																						
		S	@치매	E	알츠하이머병																				
				E	알츠하이머																				
				S	@치매노인																				
		S	@의식불명	S	혼수상태																				
				S	뇌사상태	E	뇌사																		
						E	식물인간																		
						E	코마																		
		S	@장애인	S	@시각장애인	E	맹인																		
						R	시력장애																		
						R	시력상실증																		
						R	시각상실																		
				S	@청각장애인	E	귀머거리																		
						R	청각장애																		
				S	@지적장애인																				
				S	중증장애인																				
		S	@시력장애	S	시력상실증																				
				S	시각상실																				
		S	@청각장애																						
	@왕따	E	집단따돌림																						
		S	따돌림																						
		S	외톨이																						
	섹스	E	성관계																						
		S	@섹스리스	S	섹스거부																				
		S	섹스메이트																						
		S	수중섹스																						
		N	폰섹스																						
		S	@첫경험																						
		S	@원나잇	E	원나잇스탠드																				
	@첫경험																								
	@첫키스																								
	@성형수술	S	성형외과	S	성형외과의사																				
	@성형중독																								
	@슬럼프																								
	@정치	S	여성정치																						
		S	공포정치																						
		S	@정치인	E	정치가																				
				S	정치깡패																				
				S	정치범																				
		S	정치학	N	국제정치																				
				N	정치사회적																				
		S	정치계	S	정치비리																				
				S	정치음모																				
		R	독재	S	독재정권																				
				S	군부독재																				
				S	유신정권																				
	@장례식	E	장례																						
		S	장의사	E	장례사																				
				E	장례지도사																				
		N	상조																						
	@연상연하	S	연상의여자	E	연상의 여인																				
				E	연상녀																				
				S	연상아내																				
		S	연하의남자	E	연하남																				
	@마법	S	@마법사	N	마법방어술																				
				N	해리포터																				
				N	해리포터시리즈																				
		S	마법학교																						
		S	마법왕국	E	마법성																				
		S	마법보석																						
		S	마법램프	E	마법의 램프																				
		S	마법카드																						
	@마술	S	@마술사																						
	@서커스																								
	@남북문제	S	@북한	S	남북분단																				
				S	@탈북	S	탈북자	E	북한이탈주민																
						S	새터민																		
				S	@이산가족																				
				S	남북단일팀																				
				S	북한군	S	북한초소병																		
						S	북한공작원	E	남파공작원																
								E	대남공작원																
								R	간첩																
	@감염	S	바이러스																						
		S	전염병	S	흑사병																				
		R	에이즈																						
		N	감염률																						
	@인생역전																								
	@휴머니즘	E	휴머니즘드라마																						
	@해고	S	구조조정	S	부당해고																				
				S	정리해고																				
				S	강제해고																				
				S	권고사직																				
	@퇴직	S	정년퇴직	E	정년퇴임																				
		S	명예퇴직																						
		S	권고사직																						
	@청춘	E	젊음																						
		S	청춘남녀																						
		S	@청춘영화	S	청춘멜로																				
				S	청춘이야기																				
		N	청춘예찬																						
		N	청춘만화																						
	@동심																								
	@성장통	N	성장																						
		S	성장과정	E	성장기																				
				E	청소년성장기																				
				N	성장드라마																				
		N	급성장	N	폭풍성장																				
	@가난	E	생활고																						
		E	가난함																						
		E	빈곤																						
		S	최빈민층																						
		S	빈민가	E	빈민촌																				
		S	가난뱅이																						
	@누명	S	@살인누명	S	@살해혐의																				
	@추적	E	추격																						
		E	미행																						
		S	추격전																						
	@변신	S	변신합체																						
	@인간승리	E	자수성가																						
		E	성공스토리																						
	@조실부모	S	소녀가장																						
		S	소년가장																						
	@도박	E	도박경기																						
		S	불법도박																						
		S	도박꾼	E	타짜																				
		S	도박장																						
		S	도박판																						
	@고백	S	@사랑고백																						
	삶	E	인생																						
		S	@삶과죽음																						
		S	@삶의일상																						
		S	@희로애락	E	희노애락																				
	@오디션	S	콘테스트																						
	@방황	S	@사춘기	N	청소년																				
		S	@일탈	E	일상탈출																				
				S	성적일탈																				
		R	반항																						
	@반항	S	반항아																						
	@다중인격	E	다중자아																						
		S	이중인격																						
	@이중생활																								
	@힐링	E	상처치유																						
		E	치유																						
	@소풍																								
	@이민	S	이민자	S	러시아 이민자																				
		S	이민2세																						
	@휴가																								
	@선거	S	대통령선거																						
		S	국회의원선거																						
		S	부정선거																						
	@생체실험	E	인체실험																						
소재>일반소품,소재																									
	핵	S	@핵무기	S	핵미사일																				
				S	핵탄두																				
				S	핵잠수함																				
				S	핵전함																				
		S	@핵실험																						
		S	핵과학자																						
		R	방사능																						
	@방사능																								
	@에이즈																								
	@생명공학																								
	@치매	E	알츠하이머병																						
		E	알츠하이머																						
		S	@치매노인																						
	@마약	S	마약거래	S	마약밀매																				
				S	마약밀수																				
				S	마약운반																				
				S	마약거래상																				
		S	@마약업자	E	마약상																				
				E	마약범죄단																				
				E	마약범																				
				E	마약조직																				
				S	마약밀매단	E	마약밀매업자																		
				S	마약제조범																				
				S	마약딜러																				
				S	마약거래상																				
				S	마약판매책																				
				S	마약딜러																				
				S	국제마약조직																				
				S	마약조직																				
		S	@마약단속반	E	마약 단속반																				
				E	마약단속반(DEA)																				
				E	마약반																				
		S	@대마초	E	마리화나																				
		N	마약쟁이																						
	@댄스	E	춤																						
		S	@댄스대회	E	댄스경연대회																				
		S	@댄스배틀																						
		S	댄스파티																						
		S	@댄서	E	무용수																				
				E	춤꾼																				
				S	@비보이																				
				S	댄스그룹																				
				S	백댄서																				
				S	스트립댄서	E	스트리퍼																		
		S	벨리댄스																						
		S	탭댄스																						
		S	@스트릿댄스	E	스트리트댄스																				
		S	@사교댄스	S	살사댄스																				
		S	@발레	S	발레단																				
				S	발레리나																				
				S	발레리노																				
				S	발레콩쿨																				
		S	디스코	S	디스코장																				
		S	룸바																						
		S	왈츠																						
		S	현대무용																						
		S	에어로빅																						
	@공연	S	@오페라	S	@오페라가수	N	성악가																		
						N	성악	N	소프라노																
								N	테너																
		S	@연극																						
	@스포츠	E	neg_스포츠																						
		S	@야구	E	소프트볼																				
				S	프로야구	E	야구경기	N	홈런																
								N	안타																
								N	파울																
						S	해태타이거즈																		
						S	삼미슈퍼스타즈																		
						S	롯데자이언츠																		
						S	두산베어스																		
						S	기아타이거즈																		
						S	OB베어스																		
						S	@메이저리그	S	월드시리즈																
				S	고교야구	S	고교야구부																		
				S	야구선수	S	@투수	S	왼손투수																
						S	포수																		
						N	타자																		
				S	@야구천재																				
				S	@야구스타																				
				S	야구감독																				
				S	야구부	S	야구부원																		
				S	여자야구단																				
																									
		S	@프로레슬링	E	wwe																				
				S	프로레슬러																				
		S	@축구	E	축구경기																				
				E	축구시합																				
				S	축구선수																				
				S	축구감독																				
				S	축구부																				
				S	축구팬																				
				S	@미식축구	E	럭비																		
						S	슈퍼볼																		
		S	@테니스	S	테니스선수																				
		S	@농구																						
		S	@탁구																						
		S	@핸드볼																						
		S	@아이스하키																						
		S	@레슬링	N	프로레슬링																				
		S	@마라톤	S	마라토너	N	달리기																		
		S	@권투	E	복싱	N	킥복싱																		
				E	권투경기																				
				E	권투시합																				
				S	권투선수	E	복서																		
		S	@수영	S	수영선수																				
				N	수영장																				
				N	수영복																				
		S	@승마	S	승마선수																				
		S	@바둑	S	바둑기사																				
		S	@X스포츠	E	익스트림스포츠																				
		S	@올림픽	N	성화																				
		S	@월드컵	S	2002한일월드컵	E	2002년월드컵																		
	음악	S	@음악축제	E	뮤직페스티발																				
				S	록페스티벌	E	락페스티벌																		
		S	@음악회	E	연주회																				
		S	@록음악	E	록뮤직																				
				E	록큰롤																				
				E	락큰롤																				
				E	로큰롤																				
				S	포크록																				
				S	펑크록																				
				S	모던록	E	모던락																		
				S	록스타																				
				S	록밴드	E	락밴드																		
				S	록가수	E	록커																		
						E	락커																		
						E	락가수																		
				S	락까페																				
				R	록페스티벌																				
		S	@힙합	N	힙스터																				
				N	랩																				
		S	@재즈	S	재즈싱어																				
				S	재즈밴드																				
				S	재즈클럽	S	재즈바																		
						S	재즈까페																		
		S	일렉트로닉댄스뮤직																						
		S	민속음악																						
		S	음악치료																						
		S	@음악가	E	뮤지션																				
				S	@밴드	N	드러머																		
						N	보컬																		
						N	베이스																		
				S	연주가																				
				S	@오케스트라	E	교향악단																		
				S	첼리스트																				
				S	바이올리니스트	E	바이올리니시트																		
				S	화교음악가																				
				S	트럼펫연주자																				
				S	섹스폰연주자																				
				S	기타리스트																				
				S	@피아니스트																				
				S	@인디밴드																				
				S	@작곡가																				
				S	@작사가	S	가요작사가																		
				S	드러머																				
				S	@지휘자																				
				S	@성악가	S	소프라노																		
						S	테너																		
				N	성악																				
		S	악기	S	현악기																				
				S	바이올린																				
				S	피아노																				
				S	드럼																				
				S	섹스폰	E	색소폰																		
				S	기타	S	통기타																		
		S	@합창	S	합창단	E	합창부																		
				S	합창대회																				
	@요리	S	궁중요리																						
		S	중국요리																						
		S	@요리사	E	파티쉐																				
				E	쉐프																				
				E	셰프																				
		S	요리학원																						
		S	@요리영화																						
		R	음식																						
	질병	S	@불치병	S	@파킨슨병																				
				S	@치매	E	알츠하이머																		
				S	@에이즈																				
		S	@난치병																						
		S	@희귀병	S	혈우병																				
				S	조로증																				
				S	무모증																				
				S	무정자증																				
		N	암	S	@뇌종양																				
				S	위암	S	위암말기																		
				S	간암	S	간암말기																		
				S	전립선암																				
				S	신장암																				
				S	@암환자																				
				S	암선고																				
				S	@암투병	S	항암치료																		
		S	@심장병	S	심장병어린이																				
		S	@심장마비																						
		S	@뇌졸증																						
		S	신부전증																						
	@무술	S	@쿵푸	E	쿵후																				
		S	@태권도																						
		S	@검도																						
		S	@태껸																						
		S	@무림고수	E	무술고수																				
		S	무술연마																						
		S	무술전수	S	무술비법전수																				
		S	무술인																						
	@격투기	S	무에타이																						
		S	격투경기																						
		S	킥복싱																						
		S	이종격투기	S	사설이종격투기																				
		S	불법격투기																						
		S	종합격투기																						
	@레이싱	S	카레이싱	E	자동차경주																				
		S	카레이서																						
		S	레이싱팀																						
		S	오토바이레이서																						
		N	경주																						
	@매춘	E	성매매	S	청소년성매매																				
		S	@성상납																						
		S	@매춘부																						
		S	사창가																						
	@축제	E	페스티발																						
		E	페스티벌																						
		S	@할로윈																						
		S	@음악축제	S	록페스티벌																				
	파티	S	생일파티																						
		S	@졸업파티																						
		S	@총각파티																						
		S	@신부파티																						
		S	코스튬파티																						
	보물	S	보물지도																						
	뉴스	S	@아나운서	E	앵커																				
		S	@기자																						
	@사투리																								
	@문신	E	타투																						
	@마야문명																								
	@잉카문명																								
	@경마	S	경마장																						
	컴퓨터	S	인터넷	E	온라인																				
																									
				S	@인터넷사이트	S	@온라인사이트																		
						S	@웹사이트																		
				S	@sns																				
				S	인터넷채팅																				
				S	인터넷방송																				
	@라디오	S	라디오dj																						
		S	라디오pd																						
		S	라디오방송국																						
	@삼국지																								
	@손자병법																								
인물>인물명																									
	캐릭터	S	피노키오																						
		S	스머프																						
		S	@백설공주																						
		S	걸리버																						
		S	피터팬																						
		S	@산타클로스	E	산타할아버지																				
				E	산타																				
		S	배트맨																						
		S	슈퍼맨																						
		S	스파이더맨																						
		S	아이언맨																						
		S	포켓몬스터	E	포켓몬																				
		S	파워레인저																						
		S	헐크																						
		S	마징가																						
		S	헤라클레스																						
		S	해모수																						
		S	@햄릿																						
		S	@돈키호테																						
		S	달타냥																						
		S	손오공																						
		S	삼장법사																						
		S	마루치																						
		S	@성춘향	E	춘향																				
		S	@단군																						
	@실존인물	S	@밥딜런	E	밥 딜런																				
		S	@베토벤																						
		S	@짐모리슨																						
		S	@마돈나																						
		S	@요시토모	E	요시토모 나라																				
		S	@스티브잡스																						
		S	@피카소																						
		S	@헤밍웨이	E	어니스트 헤밍웨이																				
		S	@셰익스피어																						
		S	@링컨																						
		S	@빈라덴																						
		S	@스탈린																						
		S	@히틀러																						
		S	@아웅산수지																						
		S	@사담후세인																						
		S	@루이13세																						
		S	@징기스칸																						
		S	@측천무후																						
		S	@의자왕																						
		S	@전태일																						
		S	@전두환																						
		S	@현정화																						
		S	@김두한																						
		S	@이순신																						
		S	@김유신																						
		S	@세종대왕																						
		S	@대장금																						
		S	@명성황후																						
		S	@고종황제																						
		S	@계백장군																						
		S	@유재하																						
		S	@메탈리카																						
		S	@비틀즈																						
		S	@모차르트	E	모짜르트																				
		S	@베토벤																						
		S	@헨델																						
		S	@선동열																						
	히치콕																								
	이소룡																								
	장만옥																								
	왕가위																								
	이현세																								
인물>직업/역할																									
	살인청부업자	E	청부살인업자																						
		E	청부업자																						
	인신매매범	E	인신매매단																						
	신부	S	@신부납치																						
	@부부	E	아내와남편																						
		N	남편	S	전남편																				
				S	@폭력남편	E	구타남편																		
				S	@남편의외도																				
		N	아내	N	부인																				
		S	부부관계	N	부부끼리																				
		S	@신혼부부	N	신부																				
		S	@중년부부																						
		S	@노년부부	E	노부부																				
		S	@부부애																						
		S	@부부싸움	E	부부갈등																				
				S	부부권태																				
				S	부부불화																				
	@탈옥수	E	탈옥범																						
	@전과자																								
	@가족	S	@기러기가족	S	기러기아빠																				
		S	@이산가족																						
		S	위장가족																						
		S	@다문화가정	R	혼혈아																				
		N	할아버지	S	외할아버지																				
		N	할머니	S	외할머니																				
		N	어머니	E	엄마																				
				S	@홀어머니	R	편모																		
				S	@새엄마	E	계모																		
						E	새어머니																		
				S	@미혼모																				
		N	아버지	E	아빠																				
				S	@홀아버지	R	편부																		
				S	@양아버지																				
				S	@새아빠	E	의붓아버지																		
						E	계부																		
						E	새아버지																		
		S	@형제	S	@의형제																				
				S	이복형제																				
				S	삼형제																				
				S	@형제애																				
				S	친형제																				
		S	@남매	S	@의붓남매																				
				S	@이복남매	E	배다른남매																		
				S	친남매	E	오누이																		
		S	@자매	S	의붓자매																				
				S	이복자매																				
				S	세자매																				
				R	자매애																				
				N	언니																				
		N	딸	S	@아빠와딸	E	아버지와딸																		
						E	아버지와 딸																		
						E	부녀관계																		
						E	부녀지간																		
				S	@엄마와딸	E	어머니와딸																		
						E	모녀																		
						E	모녀지간																		
						E	모녀관계																		
		N	아들	S	@아빠와아들	E	아버지와 아들																		
						E	아버지와아들																		
						E	부자지간																		
						E	부자관계																		
				S	@엄마와아들	E	어머니와아들																		
						E	모자지간																		
						E	모자관계																		
						S	@마마보이																		
		N	동생	S	남동생																				
				S	여동생																				
				S	이복동생	S	이복여동생																		
				S	의붓동생	S	의붓여동생																		
		N	언니																						
		N	오빠	S	이복오빠																				
		N	장인																						
		N	장모																						
		N	사위	S	데릴사위																				
		N	며느리	S	맏며느리																				
		N	조카																						
		N	삼촌	S	외삼촌																				
		S	@가정불화	E	가족불화																				
		S	@가족애																						
		S	@가족여행																						
		R	가족사																						
	@청소년	S	@불량청소년	E	비행청소년																				
		S	가출청소년																						
		S	탈북청소년																						
		S	@중학생																						
		S	@고등학생																						
		R	사춘기																						
		N	청소년영화제																						
		N	청소년음란물																						
		N	청소년기																						
	@소외계층	S	@다문화가정																						
		S	@성적소수자	E	성소수자																				
				S	@동성애자	E	동성애인																		
						E	동성연애자																		
						E	호모섹슈얼																		
						S	레즈비언																		
						S	퀴어	S	@퀴어무비	E	퀴어물														
										E	퀴어영화														
						S	커밍아웃																		
						A	호모포비아																		
						S	@동성애	N	동성애자																
								N	동성애인																
								N	동성연애자																
						N	게이	S	게이부모																
								S	게이커플																
								S	게이바																
				S	@트랜스젠더	S	@성전환	E	성전환수술																
				S	@성정체성																				
		S	@외국인노동자	N	노동자																				
	@호모포비아	N	혐오감																						
	이민자																								
	@로봇	E	로보트																						
		S	전투로보트	S	로보트태권V	E	태권V																		
		S	변신로봇																						
		S	@인공지능																						
		R	인조인간																						
	@인조인간	E	사이보그																						
		E	기계인간																						
		E	휴머노이드																						
	@성형미인	N	성형중독	N	성형미인																				
	@복제인간	E	클론인간																						
		E	클론																						
	@냉동인간																								
	@도플갱어																								
	@뱀파이어	E	흡혈귀																						
		E	드라큘라	E	드라큐라																				
		S	흡혈																						
		R	좀비																						
	@좀비	S	좀비영화	S	좀비바이러스																				
		R	미이라																						
	@미이라	E	미라																						
	@강시																								
	@식인종																								
	@귀신	E	유령																						
		E	악령																						
		E	요괴																						
		E	혼령																						
		E	원혼																						
		S	소녀귀신																						
		S	처녀귀신	N	구미호																				
		S	귀신소동																						
		S	일본귀신																						
		S	귀신호러물																						
		N	물귀신																						
		R	엑소시즘																						
	@천사	A	악마																						
	@악마	R	마녀																						
		N	루시퍼																						
	@마녀	N	마녀사냥																						
		N	백발마녀전																						
		N	마녀사냥꾼																						
	@히어로	E	수퍼히어로	N	슈퍼맨																				
		E	슈퍼히어로																						
		E	영웅																						
		N	히어로즈																						
		S	국민영웅																						
		S	변신영웅																						
		S	가짜영웅																						
		S	수퍼맨																						
		S	@해결사																						
	@괴물	E	괴수																						
		E	괴생명체																						
		E	괴생물체																						
		E	몬스터																						
		S	@돌연변이	E	유전자변이																				
		N	괴상																						
	@대통령	S	여자대통령																						
		S	미국대통령																						
		R	대통령선거																						
	@나치즘	E	나치																						
		E	나찌																						
		S	홀로코스트																						
		S	@히틀러																						
		S	나찌전범																						
		S	독일군																						
		R	유대인																						
		R	파시즘																						
	@파시즘																								
	@유대인	E	유태인																						
		S	유태인수용소																						
		R	나치																						
	@바람둥이	E	카사노바																						
		E	플레이보이																						
		S	바람기																						
		N	바람남																						
	@미남	S	꽃미남																						
		S	킹카																						
	@미녀	S	금발미녀																						
		S	퀸카																						
	@소심남																								
	@특수요원	S	@비밀요원	S	특수비밀요원																				
				S	여성비밀요원																				
				S	국가비밀요원																				
				S	KGB																				
				S	CIA	E	CIA요원																		
						S	전직CIA																		
				S	첩보요원	E	첩보원																		
				S	국정원요원																				
				S	비밀경찰																				
				S	비밀병기																				
				S	비밀결사대																				
		S	@특수부대	E	특공대																				
				S	비밀특공대																				
				S	SWAT																				
				S	특전사																				
				S	수색대																				
		S	@특수수사팀	E	특수수사대																				
				E	특별수사반																				
				S	FBI	E	FBI요원																		
	@라이벌	E	숙적																						
		E	앙숙																						
		E	경쟁자																						
	@파트너	E	콤비																						
	@범죄조직	S	@폭력조직	S	조직폭력																				
				S	조폭	E	깡패																		
						E	깡패들																		
						S	용역깡패																		
		S	@밀매조직	S	무기밀매																				
